timestamp,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8
1762942325.140062,-36.02,-15.91,26.63,-36.86,-30.0,-33.02,9.76,-73.08
1762942325.3798902,25.93,-67.98,19.49,4.07,69.86,57.69,-24.24,-78.46
1762942325.6032367,25.26,-55.12,1.82,63.3,41.74,39.71,-14.65,-5.48
1762942325.8105593,-76.35,53.35,-0.86,19.71,-24.87,-53.08,-1.65,-41.52
1762942326.0191085,-0.26,-24.32,-22.23,-33.38,-18.23,28.36,-34.67,25.82
1762942326.2259586,38.46,3.71,2.45,-44.64,-60.9,-19.22,-23.62,-29.3
1762942326.4335885,-38.87,-23.47,-75.36,49.94,63.06,-62.1,26.25,65.39
1762942326.6404474,44.48,49.62,75.34,7.49,-41.56,26.6,-9.23,60.31
1762942326.8492055,-14.87,-36.04,-76.16,-62.72,-61.72,1.4,67.98,-70.45
1762942327.0565403,-62.31,23.63,10.45,35.25,2.59,35.7,-73.78,23.18
1762942327.294472,4.35,-27.11,29.02,50.29,57.3,28.73,-39.57,-38.77
1762942327.503583,-43.21,34.71,37.67,-13.68,67.25,9.28,-0.79,-33.94
1762942327.71128,-27.33,15.83,-41.78,69.36,9.99,-39.92,56.26,-47.2
1762942327.9137282,-2.5,23.65,-60.15,70.88,-71.11,-31.98,51.26,8.49
1762942328.12567,-42.67,-2.87,-1.35,-15.87,-39.55,-53.95,-26.26,76.27
1762942328.3311799,-30.78,-53.06,-49.24,49.29,61.94,-26.29,-16.47,-37.28
1762942328.5440764,72.36,40.46,-56.99,27.39,-6.45,-77.56,59.94,19.75
1762942328.8167012,-4.55,79.95,-46.36,-54.16,-26.62,43.94,-9.57,-60.36
1762942329.046776,72.66,-22.72,73.22,-63.53,-26.48,-15.51,-21.97,-32.53
1762942329.2979,-16.58,40.91,-11.74,62.41,52.16,-31.45,35.9,46.58
1762942329.5511694,-44.27,-20.37,64.94,13.21,77.76,22.13,-63.37,-42.3
1762942329.7598698,-16.27,8.09,-63.91,-67.58,64.7,-44.41,-60.74,-66.6
1762942329.9675665,-45.3,-7.8,-50.81,-76.39,14.45,-22.3,6.7,-53.83
1762942330.175754,62.76,-60.75,-72.6,-79.27,46.84,50.1,39.07,-72.88
1762942330.3841052,65.28,11.78,24.81,-73.99,29.33,74.61,-59.73,18.81
1762942330.592166,61.6,-78.49,-46.06,-22.93,-13.98,-74.23,39.69,68.05
1762942330.832699,71.22,-9.36,-51.16,-40.08,-0.94,58.74,12.38,64.57
1762942331.040519,11.52,55.88,47.21,32.29,61.55,-65.19,18.5,-49.83
1762942331.2473624,2.99,-21.76,-8.13,-39.16,-10.16,-76.01,42.5,-61.58
1762942331.4553173,30.22,-75.52,5.72,34.93,44.03,42.02,-18.93,59.41
1762942331.660454,-19.77,-0.87,-41.19,76.39,3.92,72.49,26.43,-6.54
1762942331.882334,36.3,66.88,-54.29,27.64,58.95,6.52,-66.41,67.92
1762942332.106317,-75.38,58.94,36.6,-43.78,-58.05,21.51,-76.26,62.76
1762942332.32251,34.7,-34.51,-26.95,0.24,14.8,-32.27,-25.75,-29.92
1762942332.5275612,-58.13,4.16,-67.96,11.89,-74.74,60.02,-37.03,55.44
1762942332.7335362,-30.05,67.15,-6.32,-51.7,16.23,-61.52,-52.08,-79.44
1762942332.938737,-9.66,67.29,-34.48,59.0,-33.96,-56.98,43.24,46.89
1762942333.1459923,15.42,-56.88,59.26,35.8,33.99,39.07,20.77,-58.39
1762942333.3569589,50.88,-2.6,-35.87,0.58,64.11,49.04,-1.99,-47.98
1762942333.557257,-67.56,33.0,-64.76,-15.24,-47.77,71.3,-76.65,-50.9
1762942333.7628298,-28.66,50.48,35.88,52.52,24.56,64.86,-41.55,50.09
1762942333.9684181,11.03,63.75,79.31,-20.21,-75.22,78.23,3.96,39.36
1762942334.1552668,29.81,61.4,-52.19,-49.76,-76.5,-1.17,-10.63,19.71
1762942334.3661215,74.05,30.14,-39.29,33.44,-53.69,71.95,27.19,-45.66
1762942334.572742,34.17,41.03,-60.7,42.02,-33.16,10.55,-67.77,-40.36
1762942334.7796485,-4.33,-29.86,-14.82,-63.78,-35.05,41.94,16.13,-69.43
1762942334.986524,-21.39,64.96,-27.07,46.46,-11.2,11.15,9.01,28.13
1762942335.1931639,-6.62,-9.8,33.7,58.22,74.17,-59.24,-8.34,38.48
1762942335.444979,-69.41,-65.29,-10.65,-41.67,66.04,-0.29,11.44,17.47
1762942335.651405,35.38,-79.27,-13.15,19.18,79.52,46.49,-60.87,39.37
1762942335.858239,-69.44,-58.66,-58.13,2.96,49.68,60.48,65.41,-12.44
1762942336.0653474,5.72,22.49,59.5,-43.55,-18.84,10.5,-52.66,2.08
1762942336.290524,38.52,-62.38,-25.77,22.55,9.49,79.91,57.81,17.83
1762942336.4974585,-61.06,-40.8,-7.18,21.93,-5.04,-70.53,38.39,-50.79
1762942336.705365,14.71,31.41,71.86,6.43,-62.07,61.07,-34.41,67.69
1762942336.9124503,40.97,-18.39,51.21,45.11,-50.14,-63.38,-64.41,-1.87
1762942337.1213112,-76.64,25.58,-77.89,-20.13,68.18,79.08,22.2,-74.14
1762942337.3600657,-15.65,64.23,34.84,-23.35,41.91,-65.21,8.43,45.97
1762942337.5819945,23.4,63.69,22.88,-2.62,-19.26,60.24,-57.47,25.64
1762942337.7901225,-69.82,58.87,7.61,30.11,-36.92,-0.02,46.95,-0.4
1762942337.9974756,29.84,56.68,-12.28,20.87,37.81,-65.91,-45.18,47.67
1762942338.2058456,13.45,-37.96,-62.55,38.84,48.12,59.41,-32.5,20.05
1762942338.4295723,-35.98,-51.29,-59.32,15.97,12.27,-14.55,65.83,57.61
1762942338.638741,62.22,-5.99,27.56,-5.75,-64.73,-46.37,36.02,41.71
1762942338.8460438,-1.05,-61.71,-60.95,-22.0,-9.72,-66.93,-72.65,-30.38
1762942339.0543575,40.87,-44.28,-31.39,-14.62,-35.21,9.15,46.29,51.61
1762942339.2781324,51.53,-53.25,20.94,22.46,-22.83,-72.06,28.77,-9.14
1762942339.5156946,-72.67,36.64,-37.25,-31.48,-7.71,-62.73,48.05,14.08
1762942339.722402,-17.53,55.48,26.82,-63.62,-50.52,57.67,26.67,16.86
1762942339.9300482,19.19,60.41,40.22,-48.14,34.86,-0.74,-76.59,73.93
1762942340.1381226,-53.39,-68.88,20.34,-73.2,21.47,-46.31,-40.48,-11.63
1762942340.3454778,-16.43,-0.4,-73.88,-28.58,-41.9,45.76,-39.47,-40.0
1762942340.600238,74.66,-6.93,7.92,55.47,-33.31,-8.9,61.6,49.75
1762942340.8079681,-56.17,76.38,-59.42,37.8,47.23,-60.64,2.9,-63.67
1762942341.015138,-47.58,21.41,44.95,-44.13,-75.82,39.04,67.53,-79.13
1762942341.2412534,60.06,68.1,-76.04,14.1,57.05,-16.25,22.03,-73.51
1762942341.48024,22.51,-20.6,18.24,-53.61,-72.24,4.18,-26.94,-63.5
1762942341.688231,-22.75,33.48,-67.33,33.65,66.47,72.51,-2.77,29.1
1762942341.8957634,14.65,13.88,-76.77,64.11,58.18,52.1,1.79,27.47
1762942342.1198468,64.77,46.1,43.28,-67.41,19.36,51.33,-23.68,60.41
1762942342.3278785,29.37,-53.48,4.36,25.43,-18.76,-65.86,43.04,27.28
1762942342.5353124,-2.8,4.11,-33.0,-51.6,42.7,29.41,42.71,-43.58
1762942342.7426322,77.86,-21.47,46.07,35.13,-54.72,7.93,-16.99,8.24
1762942342.9672182,-44.2,23.8,-29.18,26.34,-45.88,-21.12,0.53,71.32
1762942343.1744504,20.4,50.8,-61.01,66.27,-55.3,-38.85,53.98,-4.06
1762942343.3814063,16.19,-56.66,-55.33,72.97,-59.97,-11.62,41.01,67.87
1762942343.5899317,-34.32,-17.8,-24.11,52.55,-23.49,-35.32,-8.3,-62.22
1762942343.7981398,-24.32,44.59,-64.6,-29.79,46.91,-35.93,-61.14,31.59
1762942344.0208063,12.41,18.21,-16.21,-20.68,79.11,52.37,-59.06,-6.92
1762942344.2289202,-21.83,-62.36,-60.69,-5.3,-50.36,-45.61,-29.55,-68.99
1762942344.436577,16.58,-48.41,-67.27,29.31,54.57,28.98,9.58,27.22
1762942344.646842,-6.71,71.02,1.59,-77.99,-29.88,-22.0,-62.68,-74.24
1762942344.8672144,-53.26,-68.73,-15.42,68.39,15.18,-3.19,27.92,60.27
1762942345.0754995,-52.85,45.63,-50.14,12.75,-46.13,-61.33,78.47,-1.01
1762942345.2833781,74.65,-58.02,-43.26,31.06,65.42,39.13,-43.62,54.51
1762942345.4910858,-20.08,69.56,10.42,-5.36,22.5,-54.94,37.67,19.78
1762942345.6996684,-34.29,-53.32,51.09,26.21,47.2,42.14,-76.79,-47.74
1762942345.9061422,-57.64,-77.81,9.94,-49.81,-51.44,51.76,28.14,50.14
1762942346.1135762,17.27,11.53,-35.7,-73.02,-61.47,-62.49,-23.28,18.69
1762942346.321098,65.32,28.72,-5.33,-57.2,37.05,66.11,8.37,-16.55
1762942346.5287893,18.31,-18.3,-53.47,34.76,-12.59,-60.05,79.86,12.95
1762942346.7840195,66.77,36.83,22.65,70.2,27.69,-70.26,-26.88,-22.47
1762942347.0227008,-23.3,-6.39,-39.82,-58.87,-20.65,25.77,47.18,10.35
1762942347.4060416,-58.96,11.21,-62.12,-35.78,-33.83,-34.24,42.72,-31.1
1762942347.6174028,-48.09,-19.75,37.19,-23.59,-10.16,-74.9,53.53,79.87
1762942347.8538291,-10.95,-4.18,37.01,-70.4,-69.14,-17.68,-11.42,2.28
1762942348.1151724,-2.47,27.38,5.03,-75.19,21.48,-64.62,67.52,-47.31
1762942348.3294303,37.39,70.29,20.73,30.4,-41.53,-20.15,-21.92,-26.6
1762942348.5484972,-32.52,63.69,75.04,1.96,-35.9,-45.18,35.42,-75.51
1762942348.7862515,-52.67,-59.81,-25.9,-9.09,-11.8,58.39,46.94,-62.99
1762942348.9989102,-30.31,-60.09,30.85,11.68,-74.55,56.91,-44.73,-64.25
1762942349.2167485,-24.38,-7.64,-79.47,46.34,-58.99,40.27,74.0,72.05
1762942349.4475071,-68.46,56.49,53.6,-72.12,-21.26,41.24,7.22,-25.15
1762942349.6653404,-47.63,-77.95,36.08,-60.64,-0.01,72.48,6.58,-48.13
1762942349.8875208,78.9,-29.95,-18.62,19.45,-43.88,26.47,-29.81,59.9
1762942350.1125371,9.74,27.9,-28.47,-50.55,-29.1,9.38,-70.84,-1.29
1762942350.3231947,-2.46,58.88,-38.04,3.79,32.49,-48.36,76.54,51.2
1762942350.5509846,55.09,-38.31,78.72,12.13,-13.07,25.07,31.28,-44.02
1762942350.7963881,28.04,-73.09,69.34,-68.28,-37.0,-2.21,-0.62,-8.94
1762942351.0031414,20.36,-31.8,-41.22,57.62,-53.01,73.84,21.02,-14.39
1762942351.2189136,47.09,-34.26,-32.62,29.54,-39.25,-60.8,22.5,62.28
1762942351.458025,16.08,18.06,-22.07,-67.2,-0.35,-56.37,45.58,64.26
1762942351.6656518,-41.05,-49.25,5.57,-27.29,3.06,-38.85,-43.21,-49.96
1762942351.887162,-23.0,39.1,31.53,77.04,-61.09,-21.91,-67.39,2.32
1762942352.1269622,59.24,49.46,73.24,-49.89,43.59,-26.98,-11.98,63.76
1762942352.334861,-17.97,35.96,-35.79,6.75,-38.01,-18.56,74.44,-79.67
1762942352.5662444,-56.57,-46.95,67.86,-34.61,45.69,-33.15,-48.37,-9.53
1762942352.7863557,43.8,70.16,15.8,34.25,18.51,-50.06,21.97,-67.27
1762942352.994669,-31.64,-11.64,13.77,-71.22,-40.57,-25.57,-42.27,47.34
1762942353.215033,-21.58,8.94,26.55,-71.85,-39.95,2.98,-4.76,61.28
1762942353.4452577,51.89,52.34,56.32,49.66,64.52,18.56,-25.83,-63.75
1762942353.6652663,73.1,60.77,-31.03,-8.45,-6.38,-36.67,60.42,56.55
1762942353.8736184,77.76,-32.28,-15.14,-73.52,-17.75,-18.09,-54.25,79.78
1762942354.1722102,70.51,-1.57,34.66,-46.6,19.79,27.78,56.9,-61.2
1762942354.3795218,-19.6,62.06,-0.35,-71.66,-61.42,33.73,1.05,-18.32
1762942354.6020906,79.74,-34.06,-40.86,66.47,67.21,-6.24,68.87,10.12
1762942354.8791971,41.22,0.81,-16.38,34.28,-79.47,-19.01,-54.66,-63.94
1762942355.0860872,23.21,3.82,39.55,74.67,4.79,-17.87,57.01,-2.1
1762942355.3053982,-15.44,-39.23,50.83,-60.35,-26.18,68.07,71.84,-17.16
1762942355.5559046,-0.12,62.7,54.48,-54.34,-78.04,35.59,42.63,-40.96
1762942355.761864,28.0,33.64,-37.77,-14.09,-62.34,5.65,2.71,12.61
1762942355.9691935,33.16,-35.2,-63.97,-19.23,-27.03,-46.9,-69.86,1.36
1762942356.175496,56.18,-2.87,-68.9,62.41,20.61,-40.63,-19.56,-4.96
1762942356.3831522,-22.59,57.65,-77.77,-67.74,1.17,34.3,78.25,-7.92
1762942356.64078,-55.24,-4.61,68.61,17.02,-53.73,-50.39,26.72,44.02
1762942356.8484333,-28.9,52.26,32.2,-71.15,48.27,22.31,-38.37,39.35
1762942357.0561955,-41.15,54.05,-27.45,46.75,-25.22,-71.91,-62.08,0.57
1762942357.2788184,48.58,-5.8,55.79,5.6,18.85,6.19,-67.1,62.41
1762942357.4863045,-45.7,-35.59,14.59,-74.81,76.22,-63.9,-53.67,-45.45
1762942357.6943896,51.72,71.19,13.83,-21.99,-41.55,79.26,-44.8,72.92
1762942357.902978,-37.04,3.85,53.49,28.89,-73.24,30.61,-45.52,-75.0
1762942358.1089947,41.69,-70.0,13.17,47.04,26.56,78.14,-26.92,77.59
1762942358.3169339,56.42,42.38,8.89,-25.75,-22.24,17.52,-13.48,18.53
1762942358.524546,-49.45,-70.68,-56.71,27.93,-75.4,-58.5,-53.23,10.4
1762942358.7321744,-15.04,-57.1,-57.19,6.87,41.37,68.82,-57.42,11.92
1762942358.9390326,-32.79,37.03,-67.15,65.7,-16.79,-49.17,-20.48,56.47
1762942359.1464438,73.89,73.2,54.18,-22.41,-52.56,-21.51,-38.9,74.82
1762942359.3540509,4.16,29.17,76.65,48.34,-32.32,-22.18,64.52,75.73
1762942359.5613835,66.83,41.73,26.33,51.58,-51.68,-39.17,-64.09,-49.97
1762942359.7693493,-75.32,1.91,3.16,32.82,-34.21,42.5,59.46,-65.94
1762942359.9769948,30.13,31.93,-34.35,-64.81,53.35,-30.82,20.57,63.59
1762942360.1848679,35.48,41.43,48.4,42.76,-13.67,-73.68,77.49,15.25
1762942360.3916376,2.79,74.93,36.83,18.61,49.43,-34.69,-60.95,-72.55
1762942360.5997875,-13.11,-37.4,-13.34,31.12,43.2,-29.19,37.21,39.6
1762942360.8084276,-55.87,71.64,-68.64,-29.01,33.33,76.25,79.31,-65.49
1762942361.0160515,65.38,-66.81,-51.23,-43.87,1.44,-11.79,15.75,-38.3
1762942361.2237246,21.48,7.76,35.75,20.41,41.25,42.54,69.0,71.93
1762942361.4314299,35.02,75.0,74.87,51.81,25.44,13.53,-46.83,22.4
1762942361.639286,54.88,16.42,-58.89,-45.12,51.35,-17.54,27.35,-16.65
1762942361.8467684,-4.95,-39.8,0.68,-61.0,-52.14,-76.62,-48.73,51.71
1762942362.0544434,32.85,-33.22,-35.09,-3.48,0.6,36.35,-21.13,-77.11
1762942362.2927768,79.07,-69.53,-36.28,15.57,37.53,2.89,-10.41,70.22
1762942362.513537,15.07,26.64,45.63,-54.98,-72.38,-66.04,-35.45,2.28
1762942362.7182627,-15.25,-35.44,-5.34,-63.87,-4.91,43.98,-75.93,40.3
1762942362.9252152,59.44,32.6,59.89,56.94,-15.34,-62.28,-21.65,17.77
1762942363.1319418,9.63,-13.62,39.14,66.95,45.99,41.4,-71.78,-71.16
1762942363.367279,-32.14,-12.0,-60.17,-4.89,48.81,-22.8,61.35,34.27
1762942363.5775495,-22.92,-8.96,20.21,-70.96,-66.68,-56.46,55.6,-13.97
1762942363.7842023,4.69,30.04,-4.06,-22.63,37.59,18.87,1.36,25.88
1762942363.989895,72.74,6.18,-56.99,-33.93,21.35,-65.65,72.33,68.37
1762942364.1958027,62.52,35.84,-77.44,15.75,-51.86,40.41,-29.05,-39.15
1762942364.4269736,-26.67,1.0,41.51,-53.13,-15.07,-59.53,-18.2,25.99
1762942364.642079,75.07,18.83,-75.88,-38.11,-56.53,55.02,78.29,44.15
1762942364.8956645,4.96,4.11,-38.94,4.83,-51.36,-38.23,-39.34,-37.27
1762942365.1032858,14.57,64.02,35.09,6.03,-59.25,79.77,-35.81,6.64
1762942365.3100252,-27.92,75.01,-67.74,-32.16,-30.95,11.4,14.58,-56.84
1762942365.5161073,44.17,18.38,-79.74,40.02,-42.91,-3.2,-8.23,-25.55
1762942365.7210832,1.84,-52.77,-23.81,29.06,22.05,79.94,-55.38,53.37
1762942365.9419346,-62.36,50.69,-3.03,-78.52,-50.4,-36.76,-12.14,-26.52
1762942366.147279,-55.79,43.86,-65.63,55.92,20.46,20.19,-35.16,-76.02
1762942366.353102,-44.26,58.3,-4.28,-79.71,-68.51,-54.21,79.26,-35.95
1762942366.5657918,46.49,69.34,-69.17,78.34,-13.25,-7.85,9.68,64.2
1762942366.767905,-41.06,46.52,16.79,-5.25,-72.06,29.91,50.64,-65.52
1762942366.9750385,43.47,-69.37,75.89,-22.09,-37.1,57.7,45.4,-53.1
1762942367.181893,-75.58,47.5,-22.92,-48.24,78.84,49.12,6.54,-45.48
1762942367.390809,71.28,-60.38,-26.72,-51.42,63.0,71.03,-27.36,23.68
1762942367.6128058,76.32,-31.44,6.48,-59.75,-50.8,-47.2,61.25,61.07
1762942367.8211253,-27.73,-0.8,-67.11,44.26,4.17,70.76,25.37,51.63
1762942368.0293393,66.83,-57.89,59.78,-60.02,-14.3,50.95,49.24,-46.61
1762942368.2371705,-50.54,58.24,70.16,-4.9,-61.76,72.99,-67.01,-51.88
1762942368.4578955,-49.55,-38.33,-69.89,49.19,-54.99,43.37,-53.85,22.15
1762942368.6633518,-48.4,-30.08,-28.34,11.84,20.43,-75.88,46.78,46.06
1762942368.872139,-33.48,-15.22,72.53,41.63,-18.82,69.68,76.75,-4.4
1762942369.0960903,67.46,-63.44,1.33,49.0,-2.96,3.03,47.35,28.75
1762942369.3212826,-55.8,-22.37,-36.52,40.46,35.63,-60.26,-55.54,68.15
1762942369.5289693,-21.81,19.82,-33.49,46.69,-55.93,65.07,-46.57,-40.31
1762942369.7369323,-36.25,-30.38,-18.93,68.2,54.97,-17.39,76.16,15.74
1762942369.948416,-63.72,-9.36,-17.18,-58.58,-72.93,27.72,-48.68,22.6
1762942370.1696336,17.19,27.71,16.83,-42.69,-38.93,-76.28,-60.67,24.05
1762942370.377476,-31.64,-21.16,38.2,-42.99,-72.21,-20.21,-69.26,77.67
1762942370.5848756,72.7,-16.87,45.27,58.65,68.62,54.06,36.49,-39.62
1762942370.7993279,44.69,-60.89,-48.4,-36.4,67.71,49.09,-66.82,47.75
1762942371.018741,-43.94,-35.64,-66.51,1.71,35.73,35.8,10.02,47.47
1762942371.2261803,53.2,-55.46,29.0,-37.09,32.38,8.01,-36.37,9.43
1762942371.4323897,5.86,-20.16,-42.0,63.6,44.22,-30.21,11.97,-58.83
1762942371.6579537,-9.54,73.71,-0.18,-70.9,64.58,60.35,13.28,-78.29
1762942371.8640814,26.59,-43.15,41.05,3.0,-61.25,30.63,-2.13,-6.58
1762942372.0720117,-65.94,-12.07,-32.06,-23.26,-54.5,-39.95,78.31,40.16
1762942372.2794964,73.02,-68.39,76.35,-54.5,-59.0,73.51,-41.08,9.41
1762942372.5042922,-66.81,-29.9,-45.98,29.57,29.46,5.8,52.37,58.0
1762942372.7115335,-28.57,53.47,-40.19,64.1,-34.08,-36.57,-38.4,73.08
1762942372.9195642,-56.7,-55.53,-63.06,-39.53,66.68,8.64,65.61,-1.29
1762942373.12531,34.97,-61.59,46.19,50.34,73.29,62.31,55.32,-56.98
1762942373.3312635,18.4,-21.22,-56.18,-37.0,-54.86,-13.55,-7.91,4.18
1762942373.535883,-73.21,-53.74,74.78,24.7,-11.58,23.06,-26.32,73.68
1762942373.7415147,44.69,36.18,60.9,-64.38,-75.61,9.62,12.2,43.75
1762942373.9478474,57.69,13.32,0.53,-11.36,6.97,48.34,23.97,-38.17
1762942374.153561,-67.42,19.08,78.59,8.01,-41.86,-61.93,-25.59,-79.72
1762942374.376,-27.13,-57.43,72.42,-6.01,-63.22,37.78,-66.02,-14.6
1762942374.5813527,-72.68,70.78,-4.29,-52.44,60.02,66.96,-23.79,28.45
1762942374.787817,64.78,-34.76,-66.61,28.31,15.24,64.28,-17.79,18.48
1762942374.995429,-31.69,15.39,45.62,-18.65,-43.49,77.92,63.23,-76.87
1762942375.2036455,-53.51,43.82,33.3,14.27,13.69,-7.34,51.59,-66.27
1762942375.426851,64.15,-66.47,-72.93,6.37,-55.32,69.44,-46.93,56.9
1762942375.634505,14.84,-8.63,-31.54,-31.77,44.28,31.25,-57.49,-21.15
1762942375.8416228,-29.01,-39.67,-48.12,65.62,-69.96,-13.29,-9.4,-77.37
1762942376.0656419,-49.33,-32.2,20.83,55.03,41.77,-42.37,-43.54,9.4
1762942376.274046,-74.23,-67.01,51.57,-50.27,41.14,-10.46,-20.2,-33.1
1762942376.4812534,64.56,65.89,-72.09,-24.29,-25.05,5.81,35.71,23.71
1762942376.6886241,11.62,-62.66,61.24,-30.99,10.65,34.11,-58.57,45.0
1762942376.8954291,59.59,-40.05,76.65,70.59,-20.6,-71.66,15.45,-19.28
1762942377.104484,-74.64,1.04,56.93,46.65,48.42,-59.79,16.48,30.31
1762942377.3597765,2.73,-53.67,71.29,-63.15,-8.32,39.17,26.5,31.55
1762942377.5659468,79.34,42.88,58.79,-9.9,0.93,-37.93,-50.32,23.85
1762942377.7733095,67.56,4.21,27.67,-74.23,78.87,-72.59,-66.21,-44.42
1762942378.0040936,18.15,-15.46,-56.38,-71.73,10.4,62.3,52.25,-46.63
1762942378.2190583,52.13,-42.5,74.3,-38.47,6.5,72.54,-5.6,-47.87
1762942378.458504,-30.24,69.48,-12.74,2.55,-3.91,19.82,50.8,75.97
1762942378.663876,26.63,-64.41,-74.91,-13.54,-78.26,68.01,55.47,-6.69
1762942378.8711188,21.43,53.26,5.95,7.98,-26.78,-2.27,60.38,78.51
1762942379.094809,-47.29,70.4,-61.55,36.53,-42.29,-53.69,27.6,-28.5
1762942379.3382528,-69.43,66.17,72.8,-17.45,-10.45,-31.26,24.02,-21.29
1762942379.5756276,27.0,25.92,-22.54,-49.92,-73.95,-46.34,-19.34,-68.67
1762942379.7828894,-35.88,-15.96,-16.82,-76.15,79.66,30.27,65.41,-75.46
1762942379.9910483,38.72,49.27,5.03,-77.93,14.38,40.98,22.88,-26.97
1762942380.1976483,28.9,79.4,-37.29,10.6,49.95,34.01,-25.56,-52.62
1762942380.4207046,54.16,57.77,-6.53,19.72,-35.39,41.75,-56.51,30.68
1762942380.6434186,59.0,79.92,62.5,74.08,-33.74,21.55,-26.91,7.89
